epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.1466,1.30016,2.45532,1.14233,0.8642,0.56044,0.67109,0.43185,1.26277,2.13579,1.00469,0.000660131,0.000660131,0.000660131
2,170.131,1.28453,1.74176,1.1304,0.78902,0.52015,0.59661,0.37335,1.34022,1.77952,1.13327,0.00119544,0.00119544,0.00119544
3,243.053,1.32509,1.58934,1.1517,0.79028,0.53846,0.60102,0.38975,1.31903,1.81127,1.06638,0.00159876,0.00159876,0.00159876
4,312.66,1.29501,1.37755,1.12168,0.79939,0.63004,0.69798,0.43942,1.31914,1.38699,1.07557,0.001406,0.001406,0.001406
5,399.224,1.25828,1.27264,1.08665,0.85948,0.64975,0.74506,0.48724,1.19801,1.21423,1.0218,0.001208,0.001208,0.001208
6,479.429,1.11946,1.10457,1.05606,0.88947,0.67766,0.77604,0.55014,1.12395,1.03356,0.98356,0.00101,0.00101,0.00101
7,547.869,1.11198,1.02102,1.01865,0.84343,0.72527,0.7893,0.55958,1.04682,0.94834,0.95693,0.000812,0.000812,0.000812
8,616.861,1.05042,0.88826,0.9953,0.85965,0.75458,0.8067,0.57797,1.02701,0.89025,0.94865,0.000614,0.000614,0.000614
9,716.366,0.97545,0.84759,0.98106,0.9038,0.75458,0.82212,0.60413,0.96316,0.81539,0.92733,0.000416,0.000416,0.000416
10,795.108,0.93041,0.76358,0.95671,0.90359,0.75526,0.82719,0.62246,0.92074,0.76816,0.91233,0.000218,0.000218,0.000218
